sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;7:Union();0:nada;6;10;0;1:TVector;1;177;1;1;
3;7:Union();0:nada;6;10;0;1:TVector;1;560;1;1;
1;8:Contained();0:nada;6;10;0;1:TVector;1;153;1;1;
3;8:Contained();0:nada;6;10;0;1:TVector;1;547;1;1;
1;9:Intersection();0:nada;6;10;0;1:TVector;1;158;1;1;
3;9:Intersection();0:nada;6;10;0;1:TVector;1;597;1;1;
1;10:operator=();0:nada;6;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;6;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;6;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;6;10;0;1:TVector;1;6;1;0;
1;12:nada;0:nada;6;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;6;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;7;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;7;10;0;1:TVector;1;12;1;0;
1;2:Sort();0:nada;7;10;0;1:TVector;1;81;1;1;
3;2:Sort();0:nada;7;10;0;1:TVector;1;281;1;1;
1;3:RandomOrder();0:nada;7;10;0;1:TVector;1;13;1;0;
3;3:RandomOrder();0:nada;7;10;0;1:TVector;1;84;1;0;
1;4:Invert();0:nada;7;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;7;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;7;10;0;1:TVector;1;97;1;1;
3;5:BeASet();0:nada;7;10;0;1:TVector;1;326;1;1;
1;6:Difference();0:nada;7;10;0;1:TVector;1;213;1;1;
3;6:Difference();0:nada;7;10;0;1:TVector;1;727;1;1;
1;7:Union();0:nada;7;10;0;1:TVector;1;210;1;1;
3;7:Union();0:nada;7;10;0;1:TVector;1;624;1;1;
1;8:Contained();0:nada;7;10;0;1:TVector;1;166;1;1;
3;8:Contained();0:nada;7;10;0;1:TVector;1;664;1;1;
1;9:Intersection();0:nada;7;10;0;1:TVector;1;271;1;1;
3;9:Intersection();0:nada;7;10;0;1:TVector;1;597;1;1;
1;10:operator=();0:nada;7;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;7;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;7;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;7;10;0;1:TVector;1;6;1;0;
1;12:nada;0:nada;7;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;7;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;8;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;8;10;0;1:TVector;1;24;1;0;
1;2:Sort();0:nada;8;10;0;1:TVector;1;90;1;1;
3;2:Sort();0:nada;8;10;0;1:TVector;1;269;1;1;
1;3:RandomOrder();0:nada;8;10;0;1:TVector;1;22;1;0;
3;3:RandomOrder();0:nada;8;10;0;1:TVector;1;40;1;0;
1;4:Invert();0:nada;8;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;8;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;8;10;0;1:TVector;1;97;1;1;
3;5:BeASet();0:nada;8;10;0;1:TVector;1;286;1;1;
1;6:Difference();0:nada;8;10;0;1:TVector;1;165;1;1;
3;6:Difference();0:nada;8;10;0;1:TVector;1;622;1;1;
1;7:Union();0:nada;8;10;0;1:TVector;1;211;1;1;
3;7:Union();0:nada;8;10;0;1:TVector;1;555;1;1;
1;8:Contained();0:nada;8;10;0;1:TVector;1;175;1;1;
3;8:Contained();0:nada;8;10;0;1:TVector;1;553;1;1;
1;9:Intersection();0:nada;8;10;0;1:TVector;1;165;1;1;
3;9:Intersection();0:nada;8;10;0;1:TVector;1;622;1;1;
1;10:operator=();0:nada;8;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;8;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;8;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;8;10;0;1:TVector;1;10;1;0;
1;12:nada;0:nada;8;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;8;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;9;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;9;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;9;10;0;1:TVector;1;76;1;1;
3;2:Sort();0:nada;9;10;0;1:TVector;1;258;1;1;
1;3:RandomOrder();0:nada;9;10;0;1:TVector;1;10;1;0;
3;3:RandomOrder();0:nada;9;10;0;1:TVector;1;51;1;0;
1;4:Invert();0:nada;9;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;9;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;9;10;0;1:TVector;1;82;1;1;
3;5:BeASet();0:nada;9;10;0;1:TVector;1;251;1;1;
1;6:Difference();0:nada;9;10;0;1:TVector;1;176;1;1;
3;6:Difference();0:nada;9;10;0;1:TVector;1;571;1;1;
1;7:Union();0:nada;9;10;0;1:TVector;1;167;1;1;
3;7:Union();0:nada;9;10;0;1:TVector;1;584;1;1;
1;8:Contained();0:nada;9;10;0;1:TVector;1;173;1;1;
3;8:Contained();0:nada;9;10;0;1:TVector;1;561;1;1;
1;9:Intersection();0:nada;9;10;0;1:TVector;1;171;1;1;
3;9:Intersection();0:nada;9;10;0;1:TVector;1;584;1;1;
1;10:operator=();0:nada;9;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;9;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;9;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;9;10;0;1:TVector;1;4;1;0;
1;12:nada;0:nada;9;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;9;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;10;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;10;10;0;1:TVector;1;12;1;0;
1;2:Sort();0:nada;10;10;0;1:TVector;1;95;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;261;1;1;
1;3:RandomOrder();0:nada;10;10;0;1:TVector;1;17;1;0;
3;3:RandomOrder();0:nada;10;10;0;1:TVector;1;55;1;0;
1;4:Invert();0:nada;10;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;10;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;10;10;0;1:TVector;1;87;1;1;
3;5:BeASet();0:nada;10;10;0;1:TVector;1;267;1;1;
1;6:Difference();0:nada;10;10;0;1:TVector;1;184;1;1;
3;6:Difference();0:nada;10;10;0;1:TVector;1;553;1;1;
1;7:Union();0:nada;10;10;0;1:TVector;1;179;1;1;
3;7:Union();0:nada;10;10;0;1:TVector;1;583;1;1;
1;8:Contained();0:nada;10;10;0;1:TVector;1;159;1;1;
3;8:Contained();0:nada;10;10;0;1:TVector;1;547;1;1;
1;9:Intersection();0:nada;10;10;0;1:TVector;1;166;1;1;
3;9:Intersection();0:nada;10;10;0;1:TVector;1;552;1;1;
1;10:operator=();0:nada;10;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;10;10;0;1:TVector;1;1;1;0;
1;11:operator+=();0:nada;10;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;10;10;0;1:TVector;1;5;1;0;
1;12:nada;0:nada;10;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;10;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;1;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;1;10;0;2:std::vector;1;12;1;0;
1;2:Sort();0:nada;1;10;0;2:std::vector;1;81;1;0;
3;2:Sort();0:nada;1;10;0;2:std::vector;1;263;1;0;
1;3:RandomOrder();0:nada;1;10;0;2:std::vector;1;11;1;0;
3;3:RandomOrder();0:nada;1;10;0;2:std::vector;1;70;1;0;
1;4:Invert();0:nada;1;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;1;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;1;10;0;2:std::vector;1;84;1;0;
3;5:BeASet();0:nada;1;10;0;2:std::vector;1;303;1;0;
1;6:Difference();0:nada;1;10;0;2:std::vector;1;175;1;0;
3;6:Difference();0:nada;1;10;0;2:std::vector;1;650;1;0;
1;7:Union();0:nada;1;10;0;2:std::vector;1;246;1;0;
3;7:Union();0:nada;1;10;0;2:std::vector;1;873;1;0;
1;8:Contained();0:nada;1;10;0;2:std::vector;1;154;1;0;
3;8:Contained();0:nada;1;10;0;2:std::vector;1;540;1;0;
1;9:Intersection();0:nada;1;10;0;2:std::vector;1;191;1;0;
3;9:Intersection();0:nada;1;10;0;2:std::vector;1;578;1;0;
1;10:operator=();0:nada;1;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;1;10;0;2:std::vector;1;3;1;0;
1;11:operator+=();0:nada;1;10;0;2:std::vector;1;1;1;0;
3;11:operator+=();0:nada;1;10;0;2:std::vector;1;3;1;0;
1;12:nada;0:nada;1;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;1;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;2;10;0;2:std::vector;1;4;1;0;
3;1:Add();0:nada;2;10;0;2:std::vector;1;11;1;0;
1;2:Sort();0:nada;2;10;0;2:std::vector;1;94;1;0;
3;2:Sort();0:nada;2;10;0;2:std::vector;1;327;1;0;
1;3:RandomOrder();0:nada;2;10;0;2:std::vector;1;11;1;0;
3;3:RandomOrder();0:nada;2;10;0;2:std::vector;1;113;1;0;
1;4:Invert();0:nada;2;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;2;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;2;10;0;2:std::vector;1;86;1;0;
3;5:BeASet();0:nada;2;10;0;2:std::vector;1;296;1;0;
1;6:Difference();0:nada;2;10;0;2:std::vector;1;216;1;0;
3;6:Difference();0:nada;2;10;0;2:std::vector;1;628;1;0;
1;7:Union();0:nada;2;10;0;2:std::vector;1;260;1;0;
3;7:Union();0:nada;2;10;0;2:std::vector;1;803;1;0;
1;8:Contained();0:nada;2;10;0;2:std::vector;1;164;1;0;
3;8:Contained();0:nada;2;10;0;2:std::vector;1;550;1;0;
1;9:Intersection();0:nada;2;10;0;2:std::vector;1;188;1;0;
3;9:Intersection();0:nada;2;10;0;2:std::vector;1;614;1;0;
1;10:operator=();0:nada;2;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;2;10;0;2:std::vector;1;2;1;0;
1;11:operator+=();0:nada;2;10;0;2:std::vector;1;1;1;0;
3;11:operator+=();0:nada;2;10;0;2:std::vector;1;2;1;0;
1;12:nada;0:nada;2;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;2;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;3;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;3;10;0;2:std::vector;1;12;1;0;
1;2:Sort();0:nada;3;10;0;2:std::vector;1;76;1;0;
3;2:Sort();0:nada;3;10;0;2:std::vector;1;258;1;0;
1;3:RandomOrder();0:nada;3;10;0;2:std::vector;1;12;1;0;
3;3:RandomOrder();0:nada;3;10;0;2:std::vector;1;41;1;0;
1;4:Invert();0:nada;3;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;3;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;3;10;0;2:std::vector;1;102;1;0;
3;5:BeASet();0:nada;3;10;0;2:std::vector;1;255;1;0;
1;6:Difference();0:nada;3;10;0;2:std::vector;1;166;1;0;
3;6:Difference();0:nada;3;10;0;2:std::vector;1;524;1;0;
1;7:Union();0:nada;3;10;0;2:std::vector;1;287;1;0;
3;7:Union();0:nada;3;10;0;2:std::vector;1;818;1;0;
1;8:Contained();0:nada;3;10;0;2:std::vector;1;157;1;0;
3;8:Contained();0:nada;3;10;0;2:std::vector;1;555;1;0;
1;9:Intersection();0:nada;3;10;0;2:std::vector;1;171;1;0;
3;9:Intersection();0:nada;3;10;0;2:std::vector;1;603;1;0;
1;10:operator=();0:nada;3;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;3;10;0;2:std::vector;1;2;1;0;
1;11:operator+=();0:nada;3;10;0;2:std::vector;1;1;1;0;
3;11:operator+=();0:nada;3;10;0;2:std::vector;1;3;1;0;
1;12:nada;0:nada;3;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;3;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;4;10;0;2:std::vector;1;4;1;0;
3;1:Add();0:nada;4;10;0;2:std::vector;1;10;1;0;
1;2:Sort();0:nada;4;10;0;2:std::vector;1;86;1;0;
3;2:Sort();0:nada;4;10;0;2:std::vector;1;263;1;0;
1;3:RandomOrder();0:nada;4;10;0;2:std::vector;1;11;1;0;
3;3:RandomOrder();0:nada;4;10;0;2:std::vector;1;80;1;0;
1;4:Invert();0:nada;4;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;4;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;4;10;0;2:std::vector;1;78;1;0;
3;5:BeASet();0:nada;4;10;0;2:std::vector;1;267;1;0;
1;6:Difference();0:nada;4;10;0;2:std::vector;1;165;1;0;
3;6:Difference();0:nada;4;10;0;2:std::vector;1;551;1;0;
1;7:Union();0:nada;4;10;0;2:std::vector;1;255;1;0;
3;7:Union();0:nada;4;10;0;2:std::vector;1;1097;1;0;
1;8:Contained();0:nada;4;10;0;2:std::vector;1;180;1;0;
3;8:Contained();0:nada;4;10;0;2:std::vector;1;521;1;0;
1;9:Intersection();0:nada;4;10;0;2:std::vector;1;176;1;0;
3;9:Intersection();0:nada;4;10;0;2:std::vector;1;585;1;0;
1;10:operator=();0:nada;4;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;4;10;0;2:std::vector;1;2;1;0;
1;11:operator+=();0:nada;4;10;0;2:std::vector;1;1;1;0;
3;11:operator+=();0:nada;4;10;0;2:std::vector;1;2;1;0;
1;12:nada;0:nada;4;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;4;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;5;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;5;10;0;2:std::vector;1;11;1;0;
1;2:Sort();0:nada;5;10;0;2:std::vector;1;96;1;0;
3;2:Sort();0:nada;5;10;0;2:std::vector;1;269;1;0;
1;3:RandomOrder();0:nada;5;10;0;2:std::vector;1;13;1;0;
3;3:RandomOrder();0:nada;5;10;0;2:std::vector;1;57;1;0;
1;4:Invert();0:nada;5;10;0;2:std::vector;1;1;1;0;
3;4:Invert();0:nada;5;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;5;10;0;2:std::vector;1;81;1;0;
3;5:BeASet();0:nada;5;10;0;2:std::vector;1;392;1;0;
1;6:Difference();0:nada;5;10;0;2:std::vector;1;189;1;0;
3;6:Difference();0:nada;5;10;0;2:std::vector;1;664;1;0;
1;7:Union();0:nada;5;10;0;2:std::vector;1;295;1;0;
3;7:Union();0:nada;5;10;0;2:std::vector;1;878;1;0;
1;8:Contained();0:nada;5;10;0;2:std::vector;1;225;1;0;
3;8:Contained();0:nada;5;10;0;2:std::vector;1;669;1;0;
1;9:Intersection();0:nada;5;10;0;2:std::vector;1;168;1;0;
3;9:Intersection();0:nada;5;10;0;2:std::vector;1;571;1;0;
1;10:operator=();0:nada;5;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;5;10;0;2:std::vector;1;2;1;0;
1;11:operator+=();0:nada;5;10;0;2:std::vector;1;1;1;0;
3;11:operator+=();0:nada;5;10;0;2:std::vector;1;2;1;0;
1;12:nada;0:nada;5;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;5;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;6;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;6;10;0;2:std::vector;1;14;1;0;
1;2:Sort();0:nada;6;10;0;2:std::vector;1;89;1;0;
3;2:Sort();0:nada;6;10;0;2:std::vector;1;265;1;0;
1;3:RandomOrder();0:nada;6;10;0;2:std::vector;1;14;1;0;
3;3:RandomOrder();0:nada;6;10;0;2:std::vector;1;47;1;0;
1;4:Invert();0:nada;6;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;6;10;0;2:std::vector;1;0;1;0;
1;5:BeASet();0:nada;6;10;0;2:std::vector;1;87;1;0;
3;5:BeASet();0:nada;6;10;0;2:std::vector;1;281;1;0;
1;6:Difference();0:nada;6;10;0;2:std::vector;1;166;1;0;
3;6:Difference();0:nada;6;10;0;2:std::vector;1;647;1;0;
1;7:Union();0:nada;6;10;0;2:std::vector;1;364;1;0;
3;7:Union();0:nada;6;10;0;2:std::vector;1;1055;1;0;
1;8:Contained();0:nada;6;10;0;2:std::vector;1;167;1;0;
3;8:Contained();0:nada;6;10;0;2:std::vector;1;673;1;0;
1;9:Intersection();0:nada;6;10;0;2:std::vector;1;181;1;0;
3;9:Intersection();0:nada;6;10;0;2:std::vector;1;591;1;0;
1;10:operator=();0:nada;6;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;6;10;0;2:std::vector;1;2;1;0;
1;11:operator+=();0:nada;6;10;0;2:std::vector;1;0;1;0;
3;11:operator+=();0:nada;6;10;0;2:std::vector;1;3;1;0;
1;12:nada;0:nada;6;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;6;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;7;10;0;2:std::vector;1;4;1;0;
3;1:Add();0:nada;7;10;0;2:std::vector;1;10;1;0;
1;2:Sort();0:nada;7;10;0;2:std::vector;1;81;1;0;
3;2:Sort();0:nada;7;10;0;2:std::vector;1;278;1;0;
1;3:RandomOrder();0:nada;7;10;0;2:std::vector;1;11;1;0;
3;3:RandomOrder();0:nada;7;10;0;2:std::vector;1;55;1;0;
1;4:Invert();0:nada;7;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;7;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;7;10;0;2:std::vector;1;80;1;0;
3;5:BeASet();0:nada;7;10;0;2:std::vector;1;258;1;0;
1;6:Difference();0:nada;7;10;0;2:std::vector;1;160;1;0;
3;6:Difference();0:nada;7;10;0;2:std::vector;1;516;1;0;
