sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;7:Union();0:nada;1;10;0;2:std::vector;1;161;1;1;
3;7:Union();0:nada;1;10;0;2:std::vector;1;546;1;1;
1;8:Contained();0:nada;1;10;0;2:std::vector;1;164;1;1;
3;8:Contained();0:nada;1;10;0;2:std::vector;1;504;1;1;
1;9:Intersection();0:nada;1;10;0;2:std::vector;1;241;1;1;
3;9:Intersection();0:nada;1;10;0;2:std::vector;1;524;1;1;
1;10:operator=();0:nada;1;10;0;2:std::vector;1;1;1;0;
3;10:operator=();0:nada;1;10;0;2:std::vector;1;1;1;0;
1;11:operator+=();0:nada;1;10;0;2:std::vector;1;0;1;0;
3;11:operator+=();0:nada;1;10;0;2:std::vector;1;5;1;0;
1;12:nada;0:nada;1;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;1;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;2;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;2;10;0;2:std::vector;1;11;1;0;
1;2:Sort();0:nada;2;10;0;2:std::vector;1;88;1;1;
3;2:Sort();0:nada;2;10;0;2:std::vector;1;239;1;1;
1;3:RandomOrder();0:nada;2;10;0;2:std::vector;1;10;1;0;
3;3:RandomOrder();0:nada;2;10;0;2:std::vector;1;71;1;0;
1;4:Invert();0:nada;2;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;2;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;2;10;0;2:std::vector;1;82;1;1;
3;5:BeASet();0:nada;2;10;0;2:std::vector;1;260;1;1;
1;6:Difference();0:nada;2;10;0;2:std::vector;1;208;1;1;
3;6:Difference();0:nada;2;10;0;2:std::vector;1;583;1;1;
1;7:Union();0:nada;2;10;0;2:std::vector;1;160;1;1;
3;7:Union();0:nada;2;10;0;2:std::vector;1;558;1;1;
1;8:Contained();0:nada;2;10;0;2:std::vector;1;169;1;1;
3;8:Contained();0:nada;2;10;0;2:std::vector;1;497;1;1;
1;9:Intersection();0:nada;2;10;0;2:std::vector;1;169;1;1;
3;9:Intersection();0:nada;2;10;0;2:std::vector;1;557;1;1;
1;10:operator=();0:nada;2;10;0;2:std::vector;1;0;1;0;
3;10:operator=();0:nada;2;10;0;2:std::vector;1;1;1;0;
1;11:operator+=();0:nada;2;10;0;2:std::vector;1;0;1;0;
3;11:operator+=();0:nada;2;10;0;2:std::vector;1;6;1;0;
1;12:nada;0:nada;2;10;0;2:std::vector;1;0;1;0;
3;12:nada;0:nada;2;10;0;2:std::vector;1;0;1;0;
1;1:Add();0:nada;3;10;0;2:std::vector;1;6;1;0;
3;1:Add();0:nada;3;10;0;2:std::vector;1;13;1;0;
1;2:Sort();0:nada;3;10;0;2:std::vector;1;76;1;1;
3;2:Sort();0:nada;3;10;0;2:std::vector;1;261;1;1;
1;3:RandomOrder();0:nada;3;10;0;2:std::vector;1;9;1;0;
3;3:RandomOrder();0:nada;3;10;0;2:std::vector;1;48;1;0;
1;4:Invert();0:nada;3;10;0;2:std::vector;1;1;1;0;
3;4:Invert();0:nada;3;10;0;2:std::vector;1;1;1;0;
1;5:BeASet();0:nada;3;10;0;2:std::vector;1;72;1;1;
3;5:BeASet();0:nada;3;10;0;2:std::vector;1;261;1;1;
1;6:Difference();0:nada;3;10;0;2:std::vector;1;177;1;1;
3;6:Difference();0:nada;3;10;0;2:std::vector;1;532;1;1;
1;7:Union();0:nada;3;10;0;2:std::vector;1;154;1;1;
3;7:Union();0:nada;3;10;0;2:std::vector;1;521;1;1;
1;8:Contained();0:nada;3;10;0;2:std::vector;1;163;1;1;
