sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
8;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;687;1;1;
9;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;778;1;1;
10;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;898;1;1;
1;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;72;1;1;
2;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;156;1;1;
3;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;275;1;1;
4;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;359;1;1;
5;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;429;1;1;
6;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;643;1;1;
7;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;623;1;1;
8;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;723;1;1;
9;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;773;1;1;
10;2:Sort();0:nada;3;10;0;3:TVector/std::algorithm;1;1002;1;1;
1;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;71;1;1;
2;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;159;1;1;
3;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;245;1;1;
4;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;327;1;1;
5;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;408;1;1;
6;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;501;1;1;
7;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;609;1;1;
8;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;707;1;1;
9;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;807;1;1;
10;2:Sort();0:nada;4;10;0;3:TVector/std::algorithm;1;862;1;1;
