sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
995;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;247;1;435;249;435;0;
996;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;246;1;433;248;433;0;
997;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;259;0;460;261;460;0;
998;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;260;1;461;262;461;0;
999;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;261;0;463;263;463;0;
900;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;448;268;448;0;
901;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1508;912;1508;0;
902;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;448;268;448;0;
903;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1508;912;1508;0;
904;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;448;268;448;0;
905;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;827;505;827;0;
906;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;1134;688;1134;0;
907;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;1508;928;1508;0;
908;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3650;2231;3650;0;
909;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
910;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3650;2231;3650;0;
911;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;1508;928;1508;0;
912;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3650;2231;3650;0;
913;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
914;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2189;1333;2189;0;
915;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
916;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;3;3650;2231;3650;0;
917;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
918;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;3;4539;2742;4539;0;
919;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
920;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;3;3650;2231;3650;0;
921;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3276;1991;3276;0;
922;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3650;2231;3650;0;
923;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;1508;928;1508;0;
924;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3801;2327;3801;0;
925;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;1917;1181;1917;0;
926;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3801;2327;3801;0;
927;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;1917;1181;1917;0;
928;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;4015;2456;4015;0;
929;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;27;4;7218;4414;7218;0;
930;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;1951;1197;1951;0;
931;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;0;973;595;973;0;
932;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;1951;1197;1951;0;
933;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;27;4;6353;3885;6353;0;
934;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;2327;1417;2327;0;
935;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2032;1233;2032;0;
936;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2298;1403;2298;0;
937;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;783;480;783;0;
938;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;202;118;202;0;
939;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;783;480;783;0;
